year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,Kia,Sorento,LX,SUV,automatic,5xyktca69fg566472,ca,5.0,16639.0,white,black,kia motors america  inc,20500.0,21500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca69fg561319,ca,5.0,9393.0,white,beige,kia motors america  inc,20800.0,21500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,S60,T5,Sedan,automatic,yv1612tb4f1310987,ca,41.0,14282.0,white,black,volvo na rep/world omni,27500.0,27750.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn326013,ca,1.0,5554.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15350.0,10900.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Optima,LX,Sedan,automatic,5xxgm4a73fg353538,ca,48.0,2034.0,red,tan,kia motors finance,15150.0,17700.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0hdxfr145753,ca,2.0,5559.0,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350.0,12000.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca66fg561407,ca,5.0,14634.0,silver,black,kia motors america  inc,20600.0,21500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc124223,ca,2.0,11398.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14750.0,14100.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,19.0,14538.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300.0,7200.0,Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,ca,49.0,5826.0,gray,black,audi north scottsdale,24000.0,23750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,ca,42.0,16506.0,brown,brown,volvo na rep/world omni,32100.0,32500.0,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1196951,ca,48.0,12725.0,beige,beige,volvo na rep/world omni,32300.0,32500.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg565226,ca,5.0,13757.0,red,black,kia motors america  inc,20600.0,20750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca68fg559481,ca,44.0,12862.0,gray,black,kia motors america  inc,20700.0,21000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Suburban,LTZ,SUV,automatic,1gnskkkc3fr187901,ca,45.0,11426.0,black,black,midway hfc fleet/ars,57300.0,59900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb9f1202043,ca,41.0,11846.0,white,beige,volvo na rep/world omni,31300.0,30000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,automatic,yv1612sb1f1201503,ca,42.0,12242.0,black,gray,volvo na rep/world omni,31200.0,30000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca67fg570973,ca,5.0,13878.0,silver,black,kia motors america  inc,20600.0,20750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,automatic,yv1612sbxf1202276,ca,37.0,10906.0,silver,black,volvo na rep/world omni,31500.0,30000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1fn331213,ca,1.0,4314.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500.0,11500.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2015,Kia,K900,Luxury,Sedan,automatic,knalw4d42f6019667,ca,42.0,5304.0,blue,black,kia motors america  inc,39500.0,40000.0,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca63fg570727,ca,48.0,10357.0,silver,gray,kia motors america  inc,20700.0,20500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11d5sl6fu106427,ca,1.0,6105.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,16600.0,9800.0,Wed Jan 14 2015 07:05:00 GMT-0800 (PST)
